code,iso,country,region,B.1.1.1,B.1.1.2,B.1.1.3,B.1.1.4,B.1.2.1,B.1.2.2,B.1.2.3,B.1.2.4,B.1.2.5,B.1.3.1,B.1.3.2,B.1.3.3,B.1.3.4,B.1.3.5,B.1.4.1,B.1.4.2,B.1.4.3,B.1.4.4,B.1.5.1,B.1.5.2,B.1.5.3,B.1.5.4,B.1.6.1,B.1.6.2,B.1.6.3,B.2.1.1,B.2.1.2,B.2.2.1,B.2.2.2,B.2.3.1,B.2.3.2,B.2.3.3,B.2.3.4,B.2.4.4,B.2.4.5,B.2.4.6,B.2.4.8,B.2.4.9,B.3.1.1,B.3.1.2,B.3.1.3,B.3.1.4,B.3.1.5,B.3.2.1,B.3.2.2,B.3.2.3,B.3.2.4,B.3.2.5,B.3.3.1,B.3.3.2,B.3.3.3,B.3.4.1,B.3.4.2,B.3.4.3,B.3.4.4,B.3.4.5,B.3.4.6,B.3.4.7,B.3.5.3,B.3.5.4,B.3.5.5,B.1.1,B.1.2,B.1.3,B.1.4,B.1.5,B.1.6,B.2.1,B.2.2,B.2.3,B.2.4,B.3.1,B.3.2,B.3.3,B.3.4,B.3.5,B.1,B.2,B.3,B
72,BWA,Botswana,Sub-Saharan Arica,82.93,52.12,60.18,70.64,50.64,0,99.95,89.24,51.2,86.03,94.86,44.37,70.21,43.96,31.9,48.24,87.95,76.29,50.34,26.27,62.98,92.05,82.86,68.31,47.36,87.94,81.95,94.1,66.28,12.41,9.74,38.72,10.57,31.27,6,4.45,34.19,34.22,79.42,60.28,47.76,17.72,30.5,92.1,68.9,49.5,34,93.77,0.92,85.21,1.2,94.15,20.8,95.8,44.2,1,34.83,44.9,70.7,96,72.5,66.47,58.21,67.89,42.02,57.91,66.18,84.94,53.46,17.86,12.24,47.14,67.65,29.11,41.54,47.84,60.25,46.55,26.96,46.15
724,ESP,Spain,Europe and Central Asia,99.88,98.22,99.27,97.16,98.38,57.92,99.98,100,34.92,75.82,26.95,86.84,0.46,76.13,94.86,91.22,99.11,76.05,93.27,1.74,67.39,98.01,1.09,3.61,27.22,74.83,97.32,90.77,79.37,75.12,62.29,64.53,20.63,91.12,92.99,94.96,36.67,11.41,96,99.09,34.05,73.32,35.5,98.17,21.9,56.9,35.5,99.04,3.25,99.86,2.68,89.63,81.3,100,100,91.5,87.15,56.15,46.7,90.1,40.8,98.63,78.24,53.24,71.3,65.1,10.64,86.07,56.71,55.64,36.35,67.59,62.3,35.26,78.51,35.52,66.46,60.57,31.39,54.17
729,SDN,Sudan,Sub-Saharan Arica,64.65,25.49,43.13,61.46,87.08,54.21,84.87,70.58,99.43,85.72,96.12,97.18,88.61,91.12,30.92,51.14,80.52,27.14,17.17,15.06,24.54,82.11,73.04,77.56,54.95,84.97,88.67,65.16,81.92,86.87,37.67,6.79,0.22,97.04,77.02,86.95,0.63,2.5,39.49,58.25,36.01,95.75,67.7,99.84,61.8,45,39.3,99.8,78.13,25.97,0.07,99.52,19.7,65.4,64.3,0,7.32,53.77,9.1,95.1,66.8,48.68,79.23,91.75,40.65,34.72,68.51,86.82,49.03,32.89,29.35,59.44,69.15,34.72,36.61,34.2,60.54,53.13,30.8,49.4
748,SWZ,Eswatini,Sub-Saharan Arica,47.46,50.69,52.26,49.83,29.09,41.83,99.8,64.43,75.41,85.76,92.31,17.14,63.88,0,12.14,7.01,89.21,62.83,54.24,64.69,20.39,68.19,56.45,59.92,54.24,81.96,80.98,94.01,70.6,18.36,22.72,47.84,2.62,15.15,7.59,25.97,7.68,0.47,86.76,43.11,51.68,0,69.7,100,21,72.6,29.8,100,4.69,45.23,2.64,91.1,15.5,68.6,52.3,5.7,27.17,48.28,34.8,76.2,45,50.06,62.11,51.82,27.09,51.88,56.87,81.47,54.87,22.88,6.32,50.25,64.68,17.52,37.19,31.2,50.8,45.12,24.95,41.34
752,SWE,Sweden,Europe and Central Asia,99.88,99.37,99.78,98.64,99.13,89.41,99.98,100,30.3,69.89,28.66,84.39,44,49.02,97.01,96.44,97.91,70.41,99.12,1.49,84.89,96.02,11.55,0,32.43,79.91,88.54,96.47,83.33,50.8,70.4,82.3,100,21.34,26.65,26.84,28.17,11.68,100,99.9,61.26,17.07,37,97.82,19.8,44.4,47.1,91.33,0.15,99.68,19.38,93.43,100,100,100,100,92.35,74.8,33.2,69.8,71.6,99.42,83.77,55.19,72.84,70.38,14.66,84.23,59.93,75.88,12.74,63.04,60.09,39.74,83.68,34.92,69.66,58.12,30.89,54.57
756,CHE,Switzerland,Europe and Central Asia,99.76,95.36,98.36,100,99.15,97.8,99.99,100,38.26,76.39,32.8,91.31,56.56,49.79,99.5,97.31,99.2,69.84,93.27,1.45,45.94,94.04,1.09,0,59.69,80.71,70.91,96.12,69.36,40.83,65.86,51.61,75.84,11.31,38.87,7.9,10.48,12.1,95.25,100,33.18,31.7,41.5,100,46.1,65.6,31.6,100,0.49,100,5.42,87.63,100,100,100,96.7,100,47.64,69.6,85.8,52.9,98.37,87.04,61.37,74,58.67,20.26,75.81,55.16,58.54,8.96,60.33,68.66,35.3,83.48,41.66,69.9,50.26,31.01,52.34
76,BRA,Brazil,Latin America and The Caribbean,93.1,80.76,88.3,62.13,91.19,58.83,98.87,95.48,37.02,85.53,69.32,73.69,58.66,79.34,60.89,97.31,29.66,77.34,85.46,0.01,42.4,56.26,48.06,34.79,49.5,90.83,97.14,93.54,76.55,100,64.67,56.81,17.9,98.89,96.51,89.1,96.79,93.74,92.28,91.26,51.9,82.25,43.6,98.65,24.6,65.5,49.6,77.54,0.13,98.01,31.08,79.88,42.3,65.4,42.5,49.3,45.63,43.55,51.8,45.4,63.1,81.07,76.28,73.31,46.97,46.03,44.11,93.98,56.69,59.85,52.78,72.26,63.18,43.07,46.43,32.06,63.38,68.1,33.95,55.97
762,TJK,Tajikistan,Europe and Central Asia,98.31,60.42,68.1,61.28,83.95,88.86,100,64.4,98.87,76.42,96.31,89.01,86.84,89.42,61.95,89.76,87.48,48.94,64,15.49,21.11,96.02,69.41,78,54.83,89.98,91.27,71.47,49.72,13.42,100,44.24,7.74,11.16,17.25,8.72,7.16,4.12,50.89,70.64,23.39,13.33,86.5,99.64,100,52,100,22.14,1.9,66.02,8.12,98.92,20.5,28.3,31.4,2.2,4.41,52.94,27.1,93.3,58,72.03,87.22,87.6,59.8,49.16,67.41,90.63,40.39,41.35,5.38,48.95,74.76,25.35,26.53,35.68,71.22,47.43,27.89,51.08
764,THA,Thailand,East Asia and Pacific,95.88,88.2,93.28,70.77,70.82,19.55,99.93,99.82,83.31,87.68,50.28,62.52,68.25,71.85,15.67,96.15,93.3,73.15,87.41,1.73,66.62,74.16,56.49,40.36,64.9,94.53,75.68,94.57,90.68,39.75,49.54,59.05,55.2,80.28,83.7,80.56,79.44,85.76,75.51,78.56,39.28,72.98,37.7,93.54,23.3,38.7,28.3,99.93,2.95,99.93,3.66,90.21,40.1,100,57.4,2,40.62,46.08,21.8,69.9,48.2,87.03,74.69,68.12,51.28,57.48,53.92,85.11,61.75,50.88,45.53,60.81,56.76,35.52,47.19,27.98,67.33,63.07,29.06,54.57
768,TGO,Togo,Sub-Saharan Arica,52.42,32.36,34.5,39.71,92.96,56.68,38.57,43.99,98.07,94.4,96.24,88.66,86.58,71.96,25.63,46.5,89.8,0.54,15.22,20.1,11.48,66.2,92.46,87.14,73.19,95.39,92.14,73.57,38.98,6.12,1.09,12.31,15.59,1.26,35.8,88.44,6.97,26.1,63.79,7.45,25.56,0,91.4,99.05,23.5,40.2,100,99.36,0.22,40.9,1.66,99.71,10.7,30.4,69.3,0,1.82,52.67,34.9,92.4,47,39.75,66.05,87.57,40.48,28.25,84.26,93.76,37.52,8.78,17.62,37.64,72.42,14.26,30.28,34.86,56.36,45.26,23.1,43.05
