code,iso,country,region,total,CDI,A.1,A.2,A.3,A.4,A.5,A,B.1,B.2,B.3,B,C.1,C.2,C.3,C.4,C.5,C.6,C.7,C.8,C,D.1,D.2,D.3,D.4,D.5,D,E.1,E.2,E.3,E.4,E.5,E,F.1,F.2,F.3,F.4,F.5,F,G.1,G.2,G.3,G
512,OMN,Oman,Middle East and North Africa,43.83,43.15,45.01,45.43,24.23,43.86,40.25,39.76,72.36,43.63,28.35,50.54,0,0,29.25,0,25,50,10,42.5,20.85,65.44,41.71,78.35,62.62,58.87,60.43,59.2,68.94,68.55,51.91,3.86,50.49,43.31,36.67,59.06,59.38,21.84,44.05,12.59,56.12,55.38,40.95
516,NAM,Namibia,Sub-Saharan Arica,42.34,42.38,53,43.94,12.33,39.15,34.91,36.67,57.37,54.51,27.33,47.5,0,0,26.1,0,75,50,30,46.67,28.88,55.79,31.17,43.51,58.01,57.14,47.79,48.38,57.25,58.39,48.99,11.68,44.94,35.33,18.87,49.47,53.12,19.46,35.25,35.25,68.45,66.93,56.31
52,BRB,Barbados,Latin America and The Caribbean,43.71,42.79,54.97,50.08,19.41,38.34,37.68,40.1,63.28,55.99,29.5,50.96,12.5,0,30.72,0,50,50,10,55.34,27.57,69.28,27.09,57.64,39.82,54.91,49.27,63.14,62.54,76.89,54.46,12.07,53.82,25.25,30.38,31.95,43.75,25.07,31.28,28.09,65.22,64.54,52.09
524,NPL,Nepal,South Asia,40.79,40.65,48.43,28.32,19.82,34.52,35.48,33.31,62.83,47.86,29.63,48.38,0,0,26.8,0,50,50,20,29.04,21.66,47.63,38.08,43.86,54.16,49.1,45.81,56.27,44.36,65.92,52.01,13.21,46.35,39.46,51.05,36.23,43.75,21.08,38.31,34.83,66.38,59.34,52.98
528,NLD,Netherlands,Europe and Central Asia,62.32,67.06,53.14,74.13,32.01,48.67,48.05,51.2,69.4,55.63,27.7,52.76,75,100,44,100,75,50,50,85.23,74.22,69.5,48.89,50.48,55.72,55.39,56.21,74.14,88.41,91.57,67.1,18.93,68.03,93.14,67.3,75.23,90.62,44.49,74.16,53.48,68.5,67.47,62.52
554,NZL,New Zealand,East Asia and Pacific,59.55,61.33,62.23,72.51,28.46,48.73,51.26,52.64,73.8,60.31,36.37,58.53,43.75,50,42.65,50,100,75,80,85.72,67.07,88.14,38.42,76.95,60.65,56.95,64.09,75.54,76.81,83.73,60.49,29.62,65.24,37.78,48.69,52.8,56.25,37.42,46.59,58.79,61.18,66.24,61.45
558,NIC,Nicaragua,Latin America and The Caribbean,44.98,44.67,61.12,22.73,23.44,37.32,37.77,36.48,70.09,56.59,30.82,54.26,6.25,0,25.85,0,75,50,50,33.95,29.39,65.45,46.2,79.58,73.21,54.14,62.87,49.73,87.45,65.04,51.31,9.74,52.66,29.63,32.38,41.25,46.88,9.48,31.93,18.98,73.91,45.97,45.82
56,BEL,Belgium,Europe and Central Asia,57.97,61.29,57.58,67.27,23.84,51.97,44.2,48.97,67.53,53.31,31.3,52.4,37.5,50,41.2,35,50,75,70,80.08,56.97,66.22,48.38,72.88,55.46,59.29,60.12,70.99,93.8,91.96,58.97,12.13,65.57,71.8,69.79,79.52,65.62,42.26,65.8,48.99,68.71,58.93,58.29
562,NER,Niger,Sub-Saharan Arica,35.47,35.32,46.11,23.96,23.4,24.53,26.18,28.84,53.47,44.72,25.1,42.34,0,0,28.5,0,50,50,30,28.87,23,47.94,44.55,40.32,74.54,27.62,47.01,39.61,40.24,48.92,48.76,17.52,39.01,11.09,10.78,29.73,15.62,25.28,18.5,22.92,63.55,62.46,49.15
566,NGA,Nigeria,Sub-Saharan Arica,37.77,37.93,53.48,24.86,26.9,31.01,34.87,34.22,45.04,52.08,22.53,40.4,0,0,26.8,0,25,50,30,23.23,19.11,41.79,39.22,69.12,45.04,38.15,46.35,46.29,56.4,48.98,34.72,8.65,39.01,33.26,35.67,27.38,75,9.22,36.11,24.54,69.44,61.58,51.33
578,NOR,Norway,Europe and Central Asia,64.95,71.21,61.61,72.66,18.49,47.57,39.16,47.9,73.25,50.39,33.87,54.58,81.25,100,45.05,50,100,75,80,90.14,79.01,94.53,44.22,81.16,65.77,70.29,70.75,68.63,97.49,92.51,72.03,26.58,71.45,68.74,73.88,78.37,96.88,44.71,72.51,49.62,64.82,70.3,60.96
586,PAK,Pakistan,South Asia,37.56,35.96,41.6,21.35,27.04,28.79,34.82,30.72,59.85,57.81,31.46,50.72,0,0,30.35,0,0,25,20,24.93,13.36,51.63,42.54,47.01,42.22,43.47,45.63,57.96,50.17,53.99,51.32,22.79,47.25,28.2,48.32,19.86,40.62,4.39,28.28,22.71,66.5,51.28,46.36
591,PAN,Panama,Latin America and The Caribbean,46.47,45.12,64.21,43.06,19.98,40.79,45.08,42.62,66.63,65.87,31.15,55.76,6.25,0,29.8,0,50,50,40,55.8,30.42,91.96,31.8,42.86,45.26,64.43,55.37,62.13,81.79,74.4,51.2,11.26,56.16,26.95,14.37,43.37,45.83,21.57,30.42,32.74,74.1,53.04,52.76
598,PNG,Papua New Guinea,East Asia and Pacific,38.22,35.77,60.94,31.45,28.26,34.7,33.79,37.83,57.39,56.15,30.3,48.89,6.25,0,20.4,0,50,50,30,29.76,23,42.24,27.4,34.37,67.34,59.7,43.84,57.78,42.57,51.53,47.89,8.53,41.66,8.74,27.1,3.98,31.25,18.2,17.85,26.06,70.52,63,52.66
600,PRY,Paraguay,Latin America and The Caribbean,44.62,44.47,59.3,29.57,28.61,39.49,38.13,39.02,66.71,47.19,32.34,50.54,0,0,30.55,0,50,75,40,40.08,29.35,66.12,34.22,77.27,42.95,66.65,56.37,57.52,81.08,68.93,51.87,10.95,54.07,35.99,26.75,39.67,43.75,19.95,33.22,22.91,67.98,57.73,49.04
604,PER,Peru,Latin America and The Caribbean,46.41,45.51,60.55,35.83,25.76,43.72,39.74,41.12,68.72,59.25,33.05,55.18,6.25,0,34.4,0,50,50,50,51.3,31.21,68.15,29.17,81.9,46,66.76,56.99,60.38,70.78,71.52,50.3,12.33,53.06,34.37,31.64,35.29,40.62,23.03,32.99,35.66,71.08,54.52,53.22
608,PHL,Philippines,East Asia and Pacific,46.93,46.86,62.82,31.91,27.01,37.06,40.19,39.8,61.69,61.55,35.91,53.92,6.25,0,37.85,0,25,50,30,41.24,24.61,60.34,49.19,73.68,43.54,56.26,56.63,61.91,83.69,74.03,51.07,16.51,57.44,35.56,48.5,56.03,65.62,24.45,46.03,26.86,76.18,51.01,50.84
616,POL,Poland,Europe and Central Asia,53.61,55.3,60.03,52.55,21.04,45.7,45.44,44.95,66.9,63.88,28.97,54.62,68.75,100,44.55,50,50,50,50,61.87,60.47,63.98,33.33,80.87,51.13,71.43,58.42,68.47,90.55,89.37,47.32,13.3,61.8,54.6,59.66,34.61,43.75,22.19,42.96,31.88,66.67,54.07,50.37
620,PRT,Portugal,Europe and Central Asia,54.04,56.26,61.01,62.05,20.54,45.42,46.99,47.2,66.51,49.98,31.61,51.08,12.5,0,42.75,0,100,50,60,71.55,43.23,64.13,41.66,74.4,41.5,54.43,55.14,65.6,93.15,92.62,51.6,9.8,62.55,61.83,70.32,78.57,65.62,33.9,62.05,43.84,72.5,65.12,59.88
626,TLS,Timor-Leste,East Asia and Pacific,40.81,40.56,64.86,29.36,23.86,33.4,37.22,37.74,66.12,32.14,28.89,44.75,0,0,25.5,0,25,50,20,34.06,19.94,46.06,39.67,79.27,63.61,59.93,55.82,49.39,59.27,49.06,48.49,9.67,43.18,22.66,50.07,31.04,53.12,17.63,34.9,19.2,66.4,67.38,50.48
634,QAT,Qatar,Middle East and North Africa,44.17,43.11,35.36,53.96,33.66,40.78,48.18,42.39,73.94,46.02,22.99,50.28,0,0,31.5,50,0,0,30,44.09,21.66,72.46,39.48,69.26,82.42,63.96,63.89,57.87,73.96,86.39,51.81,19.71,57.95,29.65,41.65,40.04,50,34.49,39.17,13.17,43.86,40.45,32.17
64,BTN,Bhutan,South Asia,46.76,46.26,57.6,52.22,24.45,36.75,35.62,41.33,71.06,49.47,35.6,53.94,37.5,0,26,50,25,50,30,43.41,33.12,57.51,42.63,73.14,44.78,56.29,54.41,54.4,49.56,68.61,47.16,21.7,48.29,44.63,53.54,32.16,40.62,18.69,37.93,45.63,69.34,62.47,58.55
642,ROU,Romania,Europe and Central Asia,47.93,48.47,58.7,48.93,18.32,40.27,41.48,41.54,64.91,54.14,31.46,51.64,12.5,0,38.75,0,50,50,40,52.94,31.53,62.63,33.97,82.8,47.89,68.75,57.68,63.21,67.36,82.96,52.5,10.91,55.39,33.91,54.06,58.65,50,13.96,42.12,46.39,72.75,51.93,56.45
643,RUS,Russia,Europe and Central Asia,51.75,53.52,69.16,33.47,29.54,43.59,40.22,43.2,62.95,58.26,32.14,52.3,56.25,50,39.1,0,50,50,50,54.06,44.48,62.94,38.6,48.3,45.12,47.23,48.62,73.72,94.48,82.23,59.54,13.94,64.78,48.93,64.28,53.65,78.12,12.48,51.49,47.77,61.38,68.16,58.51
646,RWA,Rwanda,Sub-Saharan Arica,44.61,45.38,55.57,41.39,26.51,33.97,31.57,37.8,65.14,48.96,23.35,47.75,0,0,33.65,50,50,50,30,36.56,30.95,64.01,40.18,67.84,63.53,57.14,57.59,44.7,69.47,50.02,44.18,20.2,45.72,20.13,20.38,60.68,56.25,21.89,35.87,28.99,75.8,70.4,57.81
68,BOL,Bolivia,Latin America and The Caribbean,43.74,43.53,54.63,23.3,26.52,39.05,35.12,35.72,66.08,54.38,31.37,52.16,12.5,0,31.35,50,50,50,30,35.48,31.89,60.66,37.1,77.86,82.27,54.55,60.68,56.64,71.53,65.59,46.15,20.46,52.08,34.68,12.07,43.98,15.62,19.72,25.21,19.62,65.45,55.45,46.37
682,SAU,Saudi Arabia,Middle East and North Africa,44.43,43.08,39.25,44.3,29.24,45.61,38.38,39.36,73.04,51.53,33.99,54.87,6.25,0,31.7,0,50,50,30,41,26.48,59.58,28.85,76.73,52.09,51.09,52.54,54.7,64.34,80.49,63.63,11.14,54.86,41,51.87,47.95,59.38,11.79,42.4,10.27,50.99,57.66,39.24
686,SEN,Senegal,Sub-Saharan Arica,37.9,35.67,52.69,38.06,21.59,33.65,36.12,36.42,63.29,51.52,26.32,48.67,0,0,31.8,0,0,25,20,37.62,16.06,61.1,38.98,37.38,35.36,63.42,47.01,38.24,50.78,57.29,48.37,22.55,43.45,21.56,20.38,12.3,37.5,12.19,20.79,22.62,71.21,63.34,51.87
688,SRB,Serbia,Europe and Central Asia,46.75,47.89,57.06,41.3,13.08,42.29,38.87,38.52,64.49,50.34,29.17,49.65,0,0,37.9,0,75,50,40,49.97,32.02,66.91,38.3,74.05,56.55,56.47,57.72,61.54,79.62,74.28,57.26,10.49,56.64,33.89,53.17,53.91,62.5,22.28,45.15,35.17,68.72,42.5,48.31
690,SYC,Seychelles,Sub-Saharan Arica,40.52,37.76,57.27,52.13,22.92,43.57,36.56,42.49,64.54,48.12,33.56,50.32,0,0,24.3,0,0,50,20,48.83,20.18,71.97,19.09,38.8,55.47,55.71,47.03,64.49,66.16,78.52,49.24,5.39,52.76,17.5,13.8,19.22,25,23.42,19.79,31.76,72.2,42.99,48.5
694,SLE,Sierra Leone,Sub-Saharan Arica,37.3,38.01,53.72,28.33,25.41,29.47,28.62,33.11,46.13,43.68,22.16,38.2,0,0,26.4,0,75,75,40,27.68,29,43.97,32.26,37.18,60.36,61.24,45.07,44.27,35.99,45.82,47.46,5.86,35.88,3.5,20.47,20.49,28.12,30.72,20.66,40.02,77.03,65.68,60.3
702,SGP,Singapore,East Asia and Pacific,55.71,56.47,57.97,65.87,41.35,51.76,47.23,52.84,76.23,54.14,28.19,55.19,75,100,37.55,50,25,25,20,64.73,52.14,70.76,44.34,70.59,52.26,68.58,60.61,55.85,69.04,93.49,67.48,26.96,62.56,56.93,60.33,60.39,59.38,34.59,54.32,31.57,61.38,64.84,52.07
703,SVK,Slovakia,Europe and Central Asia,50.3,50.98,58.15,54.96,16.7,43.95,43.83,43.52,68.81,55.39,32.05,53.76,0,0,39.52,0,50,50,50,65.66,33.94,65.68,41.64,72.88,47.64,63.29,57.59,63.64,72.78,70.95,59.04,11.66,55.61,34.36,64.72,49.41,59.38,28.98,47.37,58.72,66.02,62.95,61.94
704,VNM,Viet Nam,East Asia and Pacific,45.61,46.2,57.67,26.18,28.63,38.88,41.54,38.58,64.79,51.63,27.73,49.72,18.75,25,28.17,0,50,50,40,31.47,30.07,64.99,46.91,51.37,43.2,65,54.16,68.42,77.71,75.86,49.75,34.99,61.35,71.92,36.62,41.44,34.38,18.03,40.48,26.7,69.32,38.85,44.51
705,SVN,Slovenia,Europe and Central Asia,54.48,56.84,58.67,58.56,20.03,46.19,45.24,45.74,67.25,54.72,31.45,52.75,12.5,0,44.45,0,50,75,80,72.84,43.58,88.81,36.93,79.38,60,54.26,63.82,68.46,92.42,83.48,56.35,16.21,63.38,58.26,51.03,58.22,46.88,38.97,50.67,58.89,68.36,64.34,63.22
710,ZAF,South Africa,Sub-Saharan Arica,47.45,48.79,54.64,40.73,12.19,42.97,41.94,38.49,56.06,65.22,27.24,50.16,12.5,0,36.75,0,50,50,50,55.61,33.03,94.55,50.3,72.53,56.55,63.05,68.01,62.64,82.3,66.04,51.73,10.24,54.59,23.79,32.11,40.16,34.38,23.02,30.69,46.58,62.27,64.45,57.19
716,ZWE,Zimbabwe,Sub-Saharan Arica,39.03,38.76,60.25,15.25,24.05,35.31,32.52,33.48,57.35,49.76,25.18,45.42,6.25,0,30.85,0,50,50,40,31.13,25.6,49.28,45.77,28,41.53,55.34,43.95,44.34,57.49,52.37,20.44,11.51,37.23,36.72,39.67,37.88,53.12,12.82,36.04,21.02,74.01,65.35,52.92
72,BWA,Botswana,Sub-Saharan Arica,42.32,42.02,54.45,47.92,17.3,39.3,39.02,39.6,60.25,46.55,26.96,46.15,12.5,0,28.65,0,50,50,40,53.66,30.57,58.58,39.98,81,41.74,66.88,56.58,51.2,73.65,51.2,50.3,11.45,47.56,21.95,21.36,35.23,40.62,17.47,27.33,15.41,67.24,61.06,47.42
724,ESP,Spain,Europe and Central Asia,60.33,64.49,64.88,59.56,21.44,46,49.02,48.18,66.46,60.57,31.39,54.17,43.75,50,44.45,50,100,75,80,71.32,64.39,69.85,42.03,77.47,56.4,56.81,60.04,70.27,92.35,89.94,61.91,28.83,68.66,65.14,71.39,69.68,90.62,30.34,65.44,59.7,69.75,63.79,63.77
729,SDN,Sudan,Sub-Saharan Arica,38.68,38.15,48.8,14.85,23.24,29.33,31.79,29.6,60.54,53.13,30.8,49.4,0,0,19.6,0,50,50,20,11.02,17.28,57.66,24.85,37.92,50.14,31.18,40.32,36.58,62.85,50.84,47.01,13.4,42.14,40.34,49.29,32.56,53.12,21.58,39.38,24.12,68.39,72.66,54.51
748,SWZ,Eswatini,Sub-Saharan Arica,40.3,41.3,50.42,32.04,18.97,35.31,36.77,34.7,50.8,45.12,24.95,41.34,6.25,0,23.6,0,75,50,40,25.36,26.24,59.07,34.33,38.32,51.64,65.22,48.53,55.71,54.49,59.59,49.36,11.25,46.08,24.59,44.2,44.61,53.12,15.25,36.36,23.43,64.32,64.8,50.34
