code,iso,Rank,country,region,total,CDI-Rank,CDI,A-Rank,A,B-Rnk,B,C-Rank,C,D-Rank,D,E-Rank,E,F-Rank,F,G-Rank,G
508,MOZ,118,Mozambique,Sub-Saharan Arica,39.18,113,39.44,130,32.64,129,44.24,111,22.64,113,47.75,138,36.17,63,40.99,77,52.3
716,ZWE,119,Zimbabwe,Sub-Saharan Arica,39.03,116,38.76,123,33.48,123,45.42,93,25.6,132,43.95,137,37.23,81,36.04,68,52.92
894,ZMB,120,Zambia,Sub-Saharan Arica,38.8,120,38.27,111,34.77,126,44.82,121,20.58,140,40.36,131,39.56,83,35.89,42,57.62
454,MWI,121,Malawi,Sub-Saharan Arica,38.76,127,37.82,120,33.78,115,47.39,97,24.92,131,44.14,136,38.27,124,24.81,38,58.27
729,SDN,122,Sudan,Sub-Saharan Arica,38.68,122,38.15,139,29.6,97,49.4,131,17.28,141,40.32,124,42.14,67,39.38,56,54.51
426,LSO,123,Lesotho,Sub-Saharan Arica,38.56,104,40.24,133,32.42,143,37.22,53,31.6,110,47.96,129,40.46,131,22.91,34,58.61
120,CMR,124,Cameroon,Sub-Saharan Arica,38.45,119,38.43,119,33.85,132,42.87,85,27.08,115,47.45,112,45.87,134,21.87,102,49.44
466,MLI,125,Mali,Sub-Saharan Arica,38.42,111,39.58,136,30.86,138,40.62,115,21.74,94,50.39,100,48,119,26.86,88,51.37
324,GIN,126,Guinea,Sub-Saharan Arica,38.32,114,39.03,131,32.57,137,40.7,78,27.99,107,48.23,120,43.91,130,22.92,81,52.04
368,IRQ,127,Iraq,Middle East and North Africa,38.27,131,37.21,134,32.29,109,48.36,133,16.85,109,48.02,125,42.1,78,36.35,136,44.42
598,PNG,128,Papua New Guinea,East Asia and Pacific,38.22,135,35.77,91,37.83,103,48.89,106,23,134,43.84,127,41.66,144,17.85,72,52.66
686,SEN,129,Senegal,Sub-Saharan Arica,37.9,136,35.67,105,36.42,106,48.67,134,16.06,120,47.01,122,43.45,136,20.79,82,51.87
566,NGA,130,Nigeria,Sub-Saharan Arica,37.77,126,37.93,116,34.22,139,40.4,128,19.11,124,46.35,134,39.01,80,36.11,89,51.33
768,TGO,131,Togo,Sub-Saharan Arica,37.73,132,37.14,113,34.7,131,43.05,119,20.91,106,48.5,121,43.77,122,25,114,47.94
586,PAK,132,Pakistan,South Asia,37.56,134,35.96,137,30.72,79,50.72,141,13.36,127,45.63,104,47.25,114,28.28,126,46.36
694,SLE,134,Sierra Leone,Sub-Saharan Arica,37.3,124,38.01,128,33.11,141,38.2,72,29,129,45.07,139,35.88,138,20.66,25,60.3
204,BEN,133,Benin,Sub-Saharan Arica,37.3,130,37.32,110,34.79,140,39.56,86,26.97,143,37.79,111,46.02,125,24.69,90,51.31
434,LBY,135,Libya,Middle East and North Africa,37.27,140,34.58,121,33.71,62,51.98,142,10.67,95,50.38,103,47.42,139,20.07,131,44.66
180,COD,136,Dem. Rep. Congo,Sub-Saharan Arica,37.21,115,38.83,142,28.86,142,38.19,124,20.08,97,49.62,132,39.21,118,27.16,27,59.97
4,AFG,137,Afghanistan,South Asia,37.16,133,36.58,141,29.44,118,46.86,64,30.44,137,41.13,140,35.58,128,23.54,71,52.72
450,MDG,138,Madagascar,Sub-Saharan Arica,36.8,137,35.51,127,33.15,121,45.65,137,14.71,112,47.78,141,35.28,115,27.51,55,54.54
266,GAB,139,Gabon,Sub-Saharan Arica,36.75,141,34.5,93,37.77,124,45.24,129,18.26,130,44.53,107,46.84,145,13.55,107,48.83
108,BDI,140,Burundi,Sub-Saharan Arica,36.43,138,35.35,135,31.09,120,45.99,104,23.62,142,39.76,143,33.27,126,23.82,39,57.96
562,NER,141,Niger,Sub-Saharan Arica,35.47,139,35.32,143,28.84,133,42.34,107,23,119,47.01,133,39.01,143,18.5,104,49.15
887,YEM,142,Yemen,Middle East and North Africa,34.5,142,32.56,145,27.92,104,48.83,140,13.97,138,40.91,145,31.74,123,24.93,59,53.62
478,MRT,143,Mauritania,Sub-Saharan Arica,34.17,143,32.45,138,30.18,125,45.14,143,10.39,145,37.19,119,44.38,142,19.1,75,52.45
140,CAF,144,Central African Republic,Sub-Saharan Arica,31.79,144,31.06,140,29.58,144,36.94,138,14.49,144,37.29,142,33.99,135,20.83,99,50.3
148,TCD,145,Chad,Sub-Saharan Arica,30.71,145,30.2,144,28.72,145,34.72,145,9.14,139,40.48,144,32.74,129,23.23,119,47.51
