code,iso,country,region,total,B.1.1,B.1.2,B.1.3,B.1.4,B.1.5,B.1.6,B.2.1,B.2.2,B.2.3,B.2.4,B.3.1,B.3.2,B.3.3,B.3.4,B.3.5,B.1,B.2,B.3,B
4,AFG,Afghanistan,South Asia,37.16,30.93,78.69,88.15,54.3,20.77,88.16,88.93,36.76,15.9,32.03,52.65,90.45,18.3,15.34,30.68,58.16,48.53,30.11,46.86
40,AUT,Austria,Europe and Central Asia,60.5,98.38,85.46,51.35,71.85,57.08,19.21,94.67,54.95,70.03,5.89,61.92,64.49,35.94,81.09,40.62,67.3,57.42,30.73,53.36
400,JOR,Jordan,Middle East and North Africa,44.43,85.6,89.5,94.28,60.23,51.87,26.26,86.76,58.9,22.58,5.72,51.02,85.12,37.82,53.17,34.2,70.71,47.59,32.43,52.29
404,KEN,Kenya,Sub-Saharan Arica,42.78,52.82,79.48,91.72,36.55,44.12,85.02,92.22,58.68,30.83,44.23,61.01,69.87,9.91,27.06,33.6,64.68,60.76,26.68,52.1
410,KOR,South Korea,East Asia and Pacific,55.76,99.32,85.94,77.27,69.34,64.58,38.15,63.06,44.53,56.83,9.78,51.55,55.33,35.5,74.88,29.76,75.14,43.5,26.9,51.17
417,KGZ,Kyrgyzstan,Europe and Central Asia,43.82,81.16,83.12,86.26,59.88,48.5,50.08,82.39,48.02,32.58,11.83,60.76,76.83,31.15,23.8,34.54,69.73,46.84,31.77,51.48
418,LAO,Laos,East Asia and Pacific,39.37,57.79,84.51,79.19,44.5,34.81,81.08,80.92,41.87,8.61,35.94,53.48,49.1,34.61,19.34,18.72,63.63,46.99,26.04,47.36
422,LBN,Lebanon,Middle East and North Africa,43.47,93.93,83.9,81.92,59.86,51.21,36.42,86.53,50.78,36.33,4.37,65.19,74.57,30.43,52.85,26.46,70.53,47.55,32.15,52.12
426,LSO,Lesotho,Sub-Saharan Arica,38.56,21.49,50.95,32.33,27.48,42.79,85.99,86.42,30.53,16.96,5.52,57.05,79.21,16.76,28.35,29.68,41.88,39.46,28.76,37.22
428,LVA,Latvia,Europe and Central Asia,51.65,96.53,82.74,36.97,59.73,52.59,27.71,97.14,62.23,56.1,5.94,61.67,63.07,35.89,68.07,33.44,62.79,57.59,30.42,51.52
